orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,sigla_codigo_cargo_comissao,cargos_distribuidos,cargos_ocupados,cargos_vagos
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FCP1011,100,100,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FCP1012,123,123,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FCP1013,20,20,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FCP1014,87,86,1
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FCP1022,1,1,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FCP1023,12,12,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FCP1024,1,1,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FCP1034,3,3,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FGR0001,63,63,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FGR0002,4,4,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,FGR0003,26,26,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,MES0001,1,1,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,NE 0001,1,1,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,DAS1011,13,13,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,DAS1012,10,9,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,DAS1014,27,26,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,DAS1015,6,5,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,DAS1016,1,1,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,DAS1021,42,40,2
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,DAS1022,12,12,0
